song.id,acousticness,analysis_url,artist.id,artist.name,isBanger,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,is_local,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
4LTOzL6JsnQBifmpsbo9a5,0.359,https://api.spotify.com/v1/audio-analysis/4LTOzL6JsnQBifmpsbo9a5,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,False,12,0.41,1,212153,0.428,False,False,GBUM71605274,https://api.spotify.com/v1/tracks/4LTOzL6JsnQBifmpsbo9a5,4LTOzL6JsnQBifmpsbo9a5,0,False,0,0.138,-7.927,0,September Song - Guitar Acoustic,19,,0.0329,88.361,4,True,https://api.spotify.com/v1/tracks/4LTOzL6JsnQBifmpsbo9a5,1,audio_features,spotify:track:4LTOzL6JsnQBifmpsbo9a5,0.526
7Fg342AJtNsIDdwCfX0paC,0.239,https://api.spotify.com/v1/audio-analysis/7Fg342AJtNsIDdwCfX0paC,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,False,20,0.46,1,185703,0.567,False,False,USRC11800871,https://api.spotify.com/v1/tracks/7Fg342AJtNsIDdwCfX0paC,7Fg342AJtNsIDdwCfX0paC,6.04e-06,False,9,0.0934,-5.637,1,Let Me,50,,0.0515,168.419,4,True,https://api.spotify.com/v1/tracks/7Fg342AJtNsIDdwCfX0paC,1,audio_features,spotify:track:7Fg342AJtNsIDdwCfX0paC,0.189
79jX8RM5CgPqDKdGEKNW9K,0.0524,https://api.spotify.com/v1/audio-analysis/79jX8RM5CgPqDKdGEKNW9K,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,False,33,0.628,1,211600,0.715,False,False,USUM71803183,https://api.spotify.com/v1/tracks/79jX8RM5CgPqDKdGEKNW9K,79jX8RM5CgPqDKdGEKNW9K,0,False,5,0.119,-7.097,1,In My Blood,32,,0.0541,139.991,4,True,https://api.spotify.com/v1/tracks/79jX8RM5CgPqDKdGEKNW9K,1,audio_features,spotify:track:79jX8RM5CgPqDKdGEKNW9K,0.429
4B1rpPmQXwj78wk6aIGwwU,0.234,https://api.spotify.com/v1/audio-analysis/4B1rpPmQXwj78wk6aIGwwU,6KImCVD70vtIoJWnq6nGn3,Harry Styles,False,20,0.386,1,229813,0.407,False,False,USSM11703955,https://api.spotify.com/v1/tracks/4B1rpPmQXwj78wk6aIGwwU,4B1rpPmQXwj78wk6aIGwwU,1.86e-06,False,6,0.0999,-7.095,0,Two Ghosts,72,https://p.scdn.co/mp3-preview/6c346013bbf3634e46456b4abace863b2bc402c3?cid=b48aa986c53946d3b37781455e256dd4,0.0268,69.387,4,True,https://api.spotify.com/v1/tracks/4B1rpPmQXwj78wk6aIGwwU,4,audio_features,spotify:track:4B1rpPmQXwj78wk6aIGwwU,0.456
51NFxnQvaosfDDutk0tams,0.46,https://api.spotify.com/v1/audio-analysis/51NFxnQvaosfDDutk0tams,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,False,29,0.695,1,179172,0.573,False,False,USUM71615103,https://api.spotify.com/v1/tracks/51NFxnQvaosfDDutk0tams,51NFxnQvaosfDDutk0tams,0.0734,False,4,0.482,-8.597,0,bellyache,87,https://p.scdn.co/mp3-preview/0072db53fb276effff139d588f0cb6412f60ba9a?cid=b48aa986c53946d3b37781455e256dd4,0.106,99.939,4,True,https://api.spotify.com/v1/tracks/51NFxnQvaosfDDutk0tams,1,audio_features,spotify:track:51NFxnQvaosfDDutk0tams,0.408
3DlyHvU6blSBCJqzlJlVFK,0.00135,https://api.spotify.com/v1/audio-analysis/3DlyHvU6blSBCJqzlJlVFK,53A0W3U0s8diEn9RhXQhVz,Keane,False,12,0.501,1,216520,0.76,False,False,GBAAN0400092,https://api.spotify.com/v1/tracks/3DlyHvU6blSBCJqzlJlVFK,3DlyHvU6blSBCJqzlJlVFK,0.000458,False,0,0.0854,-6.095,1,Everybody's Changing,56,https://p.scdn.co/mp3-preview/213782592517f3a141aa3620bfe1a75edaf80870?cid=b48aa986c53946d3b37781455e256dd4,0.0295,94.03,4,True,https://api.spotify.com/v1/tracks/3DlyHvU6blSBCJqzlJlVFK,4,audio_features,spotify:track:3DlyHvU6blSBCJqzlJlVFK,0.476
4BiiOzZCrXEzHRLYcYFiD5,0.488,https://api.spotify.com/v1/audio-analysis/4BiiOzZCrXEzHRLYcYFiD5,"69GGBxA162lTqCwzJG5jLp, 3XC57xz74X3xUi1hv4mge1","The Chainsmokers, Winona Oak",False,17,0.773,1,180120,0.699,False,False,USQX91803485,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,4BiiOzZCrXEzHRLYcYFiD5,3.6e-06,False,1,0.0814,-5.982,0,Hope,87,https://p.scdn.co/mp3-preview/746135186e339c276d9f00f310286ce210782347?cid=b48aa986c53946d3b37781455e256dd4,0.0958,104.941,4,True,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,3,audio_features,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,0.513
63SevszngYpZOwf63o61K4,0.156,https://api.spotify.com/v1/audio-analysis/63SevszngYpZOwf63o61K4,3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,False,62,0.592,1,156600,0.691,False,False,USHM91642610,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,63SevszngYpZOwf63o61K4,9.78e-06,False,3,0.418,-8.354,1,Nevermind,85,https://p.scdn.co/mp3-preview/3ed2e2ed433fdc05df0a4f30607bd4b0760658df?cid=b48aa986c53946d3b37781455e256dd4,0.196,99.976,4,True,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,1,audio_features,spotify:track:63SevszngYpZOwf63o61K4,0.0796
0lsRatBUs9HNIZAmoGABzk,0.488,https://api.spotify.com/v1/audio-analysis/0lsRatBUs9HNIZAmoGABzk,3KwmxIhSe9UTSEF37kwngR,SHAED,False,12,0.689,1,184060,0.412,False,False,QZ47A1800201,https://api.spotify.com/v1/tracks/0lsRatBUs9HNIZAmoGABzk,0lsRatBUs9HNIZAmoGABzk,0.00016,False,7,0.0659,-7.523,0,Trampoline,81,https://p.scdn.co/mp3-preview/b8c853363537c9d3ac44173a54e00e75bf1ce93e?cid=b48aa986c53946d3b37781455e256dd4,0.0301,126.754,4,True,https://api.spotify.com/v1/tracks/0lsRatBUs9HNIZAmoGABzk,2,audio_features,spotify:track:0lsRatBUs9HNIZAmoGABzk,0.537
5icOoE6VgqFKohjWWNp0Ac,0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,"64KEffDW9EtZ1y2vBYgq8T, 3CjlHNtplJyTf9npxaPl5w","Marshmello, CHVRCHES",False,11,0.791,1,156347,0.565,False,False,USUG11900610,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,5icOoE6VgqFKohjWWNp0Ac,0,False,5,0.156,-3.933,0,Here With Me,90,https://p.scdn.co/mp3-preview/9fbeaa5db69e171ed646374d1da92bdde74044ad?cid=b48aa986c53946d3b37781455e256dd4,0.0439,99.961,4,True,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,1,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181
