song.id,acousticness,analysis_url,artist.id,artist.name,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,isBanger,is_local,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
4p7LooYAQniOpcNLunFnF3,0.954,https://api.spotify.com/v1/audio-analysis/4p7LooYAQniOpcNLunFnF3,2bqAlaRiT91dCQ7KMGnP8i,Gavin Luke,12,0.183,1,179166,0.0611,False,False,SE5Q51800955,https://api.spotify.com/v1/tracks/4p7LooYAQniOpcNLunFnF3,4p7LooYAQniOpcNLunFnF3,0.908,False,False,11,0.109,-25.535,0,Gone,42,,0.0342,93.361,3,True,https://api.spotify.com/v1/tracks/4p7LooYAQniOpcNLunFnF3,3,audio_features,spotify:track:4p7LooYAQniOpcNLunFnF3,0.0389
2k0lAgtTw0Ac3P1uDd2QJ2,0.984,https://api.spotify.com/v1/audio-analysis/2k0lAgtTw0Ac3P1uDd2QJ2,28COj84KB3mitRVXZkNW4N,Rand Aldo,13,0.143,1,241717,0.0187,False,False,SE5Q51800626,https://api.spotify.com/v1/tracks/2k0lAgtTw0Ac3P1uDd2QJ2,2k0lAgtTw0Ac3P1uDd2QJ2,0.942,False,False,3,0.142,-28.343,1,Thinking Like The Flowers,42,,0.0366,76.72,4,True,https://api.spotify.com/v1/tracks/2k0lAgtTw0Ac3P1uDd2QJ2,4,audio_features,spotify:track:2k0lAgtTw0Ac3P1uDd2QJ2,0.137
53sNuDhuyhtVTPNXbk4dEN,0.984,https://api.spotify.com/v1/audio-analysis/53sNuDhuyhtVTPNXbk4dEN,3dwkO7z23scCJppeqHGTy3,Steven Goldmund,15,0.144,1,240000,0.0151,False,False,SE4RG1816602,https://api.spotify.com/v1/tracks/53sNuDhuyhtVTPNXbk4dEN,53sNuDhuyhtVTPNXbk4dEN,0.982,False,False,8,0.102,-32.452,1,Mind-Drift,75,https://p.scdn.co/mp3-preview/5698ddd953eae62c0b5b2e077e1806d6f25cacb2?cid=b48aa986c53946d3b37781455e256dd4,0.0397,140.096,5,True,https://api.spotify.com/v1/tracks/53sNuDhuyhtVTPNXbk4dEN,2,audio_features,spotify:track:53sNuDhuyhtVTPNXbk4dEN,0.0385
1mYTROYR85RaiaVEtQztis,0.928,https://api.spotify.com/v1/audio-analysis/1mYTROYR85RaiaVEtQztis,6Jkxik23CyCBIj3rKlflPn,Hushed,13,0.266,1,216678,0.0205,False,False,SE5Q51800998,https://api.spotify.com/v1/tracks/1mYTROYR85RaiaVEtQztis,1mYTROYR85RaiaVEtQztis,0.907,False,False,3,0.113,-29.372,1,Hibernation,43,,0.0358,69.839,4,True,https://api.spotify.com/v1/tracks/1mYTROYR85RaiaVEtQztis,1,audio_features,spotify:track:1mYTROYR85RaiaVEtQztis,0.107
3Se2ifaSm69Np4OtyaNNKa,0.996,https://api.spotify.com/v1/audio-analysis/3Se2ifaSm69Np4OtyaNNKa,57Mmf69hQyTIEZxSCo4k5H,Réka Ioescu,11,0.391,1,152231,0.00241,False,False,SE5IB1800851,https://api.spotify.com/v1/tracks/3Se2ifaSm69Np4OtyaNNKa,3Se2ifaSm69Np4OtyaNNKa,0.949,False,False,7,0.134,-30.569,1,Endymion,70,https://p.scdn.co/mp3-preview/a4d11958e19db6f8d55fceff4c817b9152cae9ab?cid=b48aa986c53946d3b37781455e256dd4,0.079,67.191,4,True,https://api.spotify.com/v1/tracks/3Se2ifaSm69Np4OtyaNNKa,1,audio_features,spotify:track:3Se2ifaSm69Np4OtyaNNKa,0.388
5cpH1u4FeSQg3mZ7dRb1mj,0.993,https://api.spotify.com/v1/audio-analysis/5cpH1u4FeSQg3mZ7dRb1mj,3yLwXiZTWsRCxJ0yHVTWNw,Sub-City Keys,15,0.326,1,175935,0.0038,False,False,SE5ZO1800801,https://api.spotify.com/v1/tracks/5cpH1u4FeSQg3mZ7dRb1mj,5cpH1u4FeSQg3mZ7dRb1mj,0.95,False,False,10,0.127,-30.011,0,Demi Sec,68,https://p.scdn.co/mp3-preview/a2572ac9b55b792c982f2140541fc88c217f7578?cid=b48aa986c53946d3b37781455e256dd4,0.0594,69.853,4,True,https://api.spotify.com/v1/tracks/5cpH1u4FeSQg3mZ7dRb1mj,1,audio_features,spotify:track:5cpH1u4FeSQg3mZ7dRb1mj,0.373
1b8hMNOq787OU4lAchJozZ,0.995,https://api.spotify.com/v1/audio-analysis/1b8hMNOq787OU4lAchJozZ,2VZNmg4vCnew4Pavo8zDdW,Max Richter,16,0.214,1,153101,0.00144,False,False,DEN961502191,https://api.spotify.com/v1/tracks/1b8hMNOq787OU4lAchJozZ,1b8hMNOq787OU4lAchJozZ,0.968,False,False,6,0.0998,-39.869,1,Dream 1 (before the wind blows it all away) - Pt. 1,19,,0.0487,72.046,4,True,https://api.spotify.com/v1/tracks/1b8hMNOq787OU4lAchJozZ,1,audio_features,spotify:track:1b8hMNOq787OU4lAchJozZ,0.0866
75D9esOK7ASfcREQAvbtql,0.944,https://api.spotify.com/v1/audio-analysis/75D9esOK7ASfcREQAvbtql,2YX3ZumDhRfswphqHPGL59,Dream Runner,12,0.0951,1,177214,0.0872,False,False,SE4RG1816901,https://api.spotify.com/v1/tracks/75D9esOK7ASfcREQAvbtql,75D9esOK7ASfcREQAvbtql,0.96,False,False,7,0.0905,-24.168,1,Magica,74,https://p.scdn.co/mp3-preview/67fa30508180442a6685f2d70e6c762dcf574f5f?cid=b48aa986c53946d3b37781455e256dd4,0.0371,87.653,1,True,https://api.spotify.com/v1/tracks/75D9esOK7ASfcREQAvbtql,1,audio_features,spotify:track:75D9esOK7ASfcREQAvbtql,0.0389
6XDyO1ycRcaRfqLgXEDcQZ,0.988,https://api.spotify.com/v1/audio-analysis/6XDyO1ycRcaRfqLgXEDcQZ,5YNgVaI5vgMjBLel7QShBe,LUCHS,24,0.388,1,192850,0.0115,False,False,SE5Q51700310,https://api.spotify.com/v1/tracks/6XDyO1ycRcaRfqLgXEDcQZ,6XDyO1ycRcaRfqLgXEDcQZ,0.838,False,False,10,0.113,-23.758,0,Reverie,41,,0.0479,89.636,4,True,https://api.spotify.com/v1/tracks/6XDyO1ycRcaRfqLgXEDcQZ,1,audio_features,spotify:track:6XDyO1ycRcaRfqLgXEDcQZ,0.0769
2whahz2VQOrE33jKPo5Wee,0.99,https://api.spotify.com/v1/audio-analysis/2whahz2VQOrE33jKPo5Wee,2iPiEjvpiyVOYH7JSRgqfW,MVS,11,0.216,1,178932,0.0926,False,False,SE5IB1800263,https://api.spotify.com/v1/tracks/2whahz2VQOrE33jKPo5Wee,2whahz2VQOrE33jKPo5Wee,0.945,False,False,0,0.114,-23.396,1,Still Now,66,https://p.scdn.co/mp3-preview/b8839227e3e8f6a62cc1c6a9aeb993111034e8af?cid=b48aa986c53946d3b37781455e256dd4,0.0413,99.948,4,True,https://api.spotify.com/v1/tracks/2whahz2VQOrE33jKPo5Wee,1,audio_features,spotify:track:2whahz2VQOrE33jKPo5Wee,0.0678
